row_num,ACQUISITION_TIME,ACQUISITION_DAY,ACQUISITION_HOUR,b
318,12/16/2013 18:00,12/16/2013,2013-12-16 18,0.92
319,12/16/2013 19:00,12/16/2013,2013-12-16 19,0.28
320,12/16/2013 20:00,12/16/2013,2013-12-16 20,0.28
321,12/16/2013 21:00,12/16/2013,2013-12-16 21,0.28
322,12/16/2013 22:01,12/16/2013,2013-12-16 22,0.24
323,12/16/2013 23:02,12/16/2013,2013-12-16 23,0.28
324,12/17/2013 0:02,12/17/2013,2013-12-17 00,0.28
325,12/17/2013 1:02,12/17/2013,2013-12-17 01,0.28
326,12/17/2013 2:03,12/17/2013,2013-12-17 02,0.24
327,12/17/2013 3:02,12/17/2013,2013-12-17 03,0.28
328,12/17/2013 4:03,12/17/2013,2013-12-17 04,0.14
329,12/17/2013 5:03,12/17/2013,2013-12-17 05,0.24
330,12/17/2013 6:05,12/17/2013,2013-12-17 06,0.24
331,12/17/2013 7:05,12/17/2013,2013-12-17 07,0.19
332,12/17/2013 8:07,12/17/2013,2013-12-17 08,0.28
333,12/17/2013 9:08,12/17/2013,2013-12-17 09,1.14
334,12/17/2013 10:08,12/17/2013,2013-12-17 10,1.23
335,12/17/2013 11:09,12/17/2013,2013-12-17 11,0.92
336,12/17/2013 12:09,12/17/2013,2013-12-17 12,1.93
337,12/17/2013 13:10,12/17/2013,2013-12-17 13,2.72
338,12/17/2013 14:09,12/17/2013,2013-12-17 14,2.76
339,12/17/2013 15:00,12/17/2013,2013-12-17 15,2.63
340,12/17/2013 16:00,12/17/2013,2013-12-17 16,2.3
341,12/17/2013 17:01,12/17/2013,2013-12-17 17,2.1
342,12/17/2013 18:02,12/17/2013,2013-12-17 18,1.1
343,12/17/2013 19:02,12/17/2013,2013-12-17 19,0.6
344,12/17/2013 20:03,12/17/2013,2013-12-17 20,0.7
345,12/17/2013 21:05,12/17/2013,2013-12-17 21,0.65
346,12/17/2013 22:07,12/17/2013,2013-12-17 22,0.65
347,12/17/2013 23:10,12/17/2013,2013-12-17 23,0.51
348,12/18/2013 0:10,12/18/2013,2013-12-18 00,0.51
349,12/18/2013 1:00,12/18/2013,2013-12-18 01,0.51
350,12/18/2013 2:01,12/18/2013,2013-12-18 02,0.51
351,12/18/2013 3:02,12/18/2013,2013-12-18 03,0.51
352,12/18/2013 4:03,12/18/2013,2013-12-18 04,0.51
353,12/18/2013 5:04,12/18/2013,2013-12-18 05,0.42
354,12/18/2013 6:05,12/18/2013,2013-12-18 06,0.42
355,12/18/2013 7:05,12/18/2013,2013-12-18 07,0.37
356,12/18/2013 8:06,12/18/2013,2013-12-18 08,0.42
357,12/18/2013 9:06,12/18/2013,2013-12-18 09,1.23
358,12/18/2013 10:06,12/18/2013,2013-12-18 10,1.84
359,12/18/2013 11:06,12/18/2013,2013-12-18 11,1.28
360,12/18/2013 12:06,12/18/2013,2013-12-18 12,1.97
361,12/18/2013 13:07,12/18/2013,2013-12-18 13,2.76
362,12/18/2013 14:08,12/18/2013,2013-12-18 14,2.84
363,12/18/2013 15:09,12/18/2013,2013-12-18 15,2.76
364,12/18/2013 16:09,12/18/2013,2013-12-18 16,2.47
365,12/18/2013 17:00,12/18/2013,2013-12-18 17,1.76
366,12/18/2013 18:01,12/18/2013,2013-12-18 18,0.97
367,12/18/2013 19:03,12/18/2013,2013-12-18 19,0.7
368,12/18/2013 20:05,12/18/2013,2013-12-18 20,0.65
369,12/18/2013 21:07,12/18/2013,2013-12-18 21,0.6
370,12/18/2013 22:09,12/18/2013,2013-12-18 22,0.56
371,12/18/2013 23:01,12/18/2013,2013-12-18 23,0.65
372,12/19/2013 0:02,12/19/2013,2013-12-19 00,0.51
373,12/19/2013 1:02,12/19/2013,2013-12-19 01,0.51
374,12/19/2013 2:03,12/19/2013,2013-12-19 02,0.51
375,12/19/2013 3:03,12/19/2013,2013-12-19 03,0.51
376,12/19/2013 4:05,12/19/2013,2013-12-19 04,0.37
377,12/19/2013 5:05,12/19/2013,2013-12-19 05,0.37
378,12/19/2013 6:06,12/19/2013,2013-12-19 06,0.37
379,12/19/2013 7:06,12/19/2013,2013-12-19 07,0.42
380,12/19/2013 8:08,12/19/2013,2013-12-19 08,0.33
381,12/19/2013 9:08,12/19/2013,2013-12-19 09,0.96
382,12/19/2013 10:08,12/19/2013,2013-12-19 10,1.27
383,12/19/2013 11:08,12/19/2013,2013-12-19 11,1.05
384,12/19/2013 12:08,12/19/2013,2013-12-19 12,1.92
385,12/19/2013 13:08,12/19/2013,2013-12-19 13,1.62
386,12/19/2013 14:08,12/19/2013,2013-12-19 14,1.75
387,12/19/2013 15:09,12/19/2013,2013-12-19 15,1.14
